model,activation,lr,batch_size,epochs,final_train_loss,final_val_loss,avg_epoch_time,test_loss
B,relu,0.0001,32,150,0.04348557616585181,0.07116896961708943,0.007298571268717448,0.021018666950796412
B,relu,0.0001,32,200,0.04287955349076974,0.07023865479242297,0.003343006372451782,0.020676736599751378
B,sigmoid,0.01,8,100,0.027779962988413894,0.03490022455209003,0.004364166259765625,0.019314037550108982
B,sigmoid,0.01,8,150,0.028993980905289093,0.04418637190687882,0.004487458864847819,0.01502277947949201
B,sigmoid,0.01,8,200,0.027641794484880966,0.03541568240206323,0.004770760536193848,0.0187339456482609
B,sigmoid,0.01,16,100,0.02771685415217109,0.039605331482469766,0.003077740669250488,0.016010450926594137
B,sigmoid,0.01,16,150,0.027712132926100776,0.03956515714504087,0.0030745712916056315,0.016025186125549106
B,sigmoid,0.01,16,200,0.027736207538918325,0.03971689865007469,0.003101741075515747,0.015966639784129603
B,sigmoid,0.01,32,100,0.02749207382723879,0.03780816807120209,0.002467632293701172,0.016850405140759857
B,sigmoid,0.01,32,150,0.027596995571334517,0.03885647672741616,0.002356556256612142,0.016319343982962878
B,sigmoid,0.01,32,200,0.027534257499666606,0.03835376054257037,0.002273660898208618,0.016549990911455262
B,sigmoid,0.001,8,100,0.027468875902029826,0.0371269128404263,0.0044115686416625974,0.01727722743600166
B,sigmoid,0.001,8,150,0.027473060554520163,0.03695479870508814,0.004566375414530436,0.01739775915268801
B,sigmoid,0.001,8,200,0.027467083450385163,0.036997375819663156,0.004437757730484009,0.017359911229299745
B,sigmoid,0.001,16,100,0.027474571763776098,0.03720587923456313,0.0030089688301086427,0.017238147865458832
B,sigmoid,0.001,16,150,0.02747678349576153,0.03664891985396573,0.005207497278849284,0.01762585378154651
B,sigmoid,0.001,16,200,0.02747739637822226,0.03717305473193719,0.0057224249839782715,0.017245248438939466
B,sigmoid,0.001,32,100,0.027475952738376143,0.03714915281419056,0.0022512388229370115,0.017259357720112757
B,sigmoid,0.001,32,150,0.027470916271870944,0.03716653925948541,0.0022847843170166015,0.017245214481371743
B,sigmoid,0.001,32,200,0.027537299662794643,0.03841471023093235,0.0022062408924102784,0.01651952959846117
B,sigmoid,0.0001,8,100,0.027517715414252537,0.038123790214697646,0.004583039283752441,0.01667329286467141
B,sigmoid,0.0001,8,150,0.027468147318013857,0.037368334128619014,0.0044159762064615886,0.017119459719171535
B,sigmoid,0.0001,8,200,0.027468333758096444,0.03712014287273813,0.004568030834197998,0.017282042152730454
B,sigmoid,0.0001,16,100,0.027648462532379958,0.03919421875056136,0.0030193018913269045,0.016170587696436495
B,sigmoid,0.0001,16,150,0.027685189716947566,0.03943649627315578,0.0033035786946614583,0.01606968943166108
B,sigmoid,0.0001,16,200,0.0275050837975681,0.03806140876628957,0.003089953660964966,0.016710640594977243
B,sigmoid,0.0001,32,100,0.030166711250242197,0.04722120207965035,0.0023503351211547853,0.014943517620146706
B,sigmoid,0.0001,32,150,0.02752830279036739,0.03824217682430002,0.0022774887084960936,0.016619913188835222
B,sigmoid,0.0001,32,200,0.027935582035183357,0.04065157499169412,0.002395167350769043,0.015660457992807846
